happiness;sadness;anger;surprise;fear;disgust;neutral
70,8;69,4;90;76,7;89,8;80,2;69,1
81,6;57,2;91,8;74,7;69,2;49,1;60,6
79,2;56,9;88,7;82,4;78,2;76,3;70,1
78,8;67,5;75,1;68;66,2;70,9;54,4
74;65,2;71,1;68,9;70,8;66,4;52,5
82,4;77,1;64,1;52,8;72,9;70,5;64,8
79,6;71,2;82,8;65,4;75,7;70,9;67,3
82,5;76,1;77,8;64,2;69,8;78,5;52,1
72,2;65,1;69,1;58,8;70,4;78,9;69,5
81,3;61,1;76,8;66,3;59,9;78;65,4
77,2;62,3;59,8;80,7;75,3;70,9;64,5
