happiness;sadness;anger;surprise;fear;disgust;neutral
29,2;29,9;50,2;37,1;39,3;43,7;41,4
44,8;51,7;39,4;37,2;28,9;60,2;47,7
28,4;41,8;56,7;43,3;55,5;38,2;29,1
49;40,4;41,9;34,1;47,9;52,2;53,1
39,9;35,4;44;47,1;42,8;21,7;30,6
28,3;52,2;50,7;29,7;37,8;47,5;40,2
34;48,2;47;52,1;50,4;25,8;44,3
22,9;39,9;45,5;40,6;51,8;47,2;48,6
38,1;43,2;49,3;42;30,1;33,7;31,6
67,1;63,8;54,5;32,6;27,7;47,7;32,6
33,8;51,1;46,2;37,8;45,1;40;60,7
