happiness;sadness;anger;surprise;fear;disgust;neutral
256,5;143,7;185,9;163,4;204,9;141,7;152,8
163,5;100,4;175,9;127,5;133,8;142,7;93,8
195,6;167,9;231,4;174,8;267,5;215,1;166,8
263,5;188,4;260,2;217,9;243,5;231,7;200,7
231,9;154,1;203,2;183,2;203,8;185,1;160,7
254,7;203,3;263,5;233,8;243,5;197,8;201,9
240,5;197,8;242,4;167,5;212;200,9;172,5
231,8;203,4;261,2;240,1;251,2;232;137,1
208,2;178,4;206,7;195,1;222,9;201,7;171,8
250,9;200,1;224,9;227,4;213,5;208,9;205,1
194,4;170,5;228,3;202,8;200,1;180,7;194,5
