happines;sadness;anger;surprise;fear;disgust;neutral
124,8;100,7;166,1;152,8;110,2;108,4;94,1
173,3;80,2;151,1;130,4;174,9;137,5;91,5
111,4;80,8;142,4;151,8;165,9;92,8;81,1
151,5;81,8;164;100,9;167,5;111,7;98,6
130,3;103,7;152,8;135,7;159,9;121,5;81,4
151,2;67,6;144,8;103,1;167,1;121,5;73,2
142,4;71,5;168,8;130,8;159,9;142,4;88,1
145,3;105,1;163,5;110,4;169,3;112,8;100,1
150,4;72,1;171,5;133,9;175,1;101,8;49,5
177,2;130;167,1;161,4;155,8;142,7;132,9
176,8;131,9;171,8;145,7;171,2;125,4;130,6
160,5;111,3;165,2;131;155,4;101,5;112,1
