happines;sadness;anger;surprise;fear;disgust;neutral
31,6;25,7;32,8;29,9;34,9;37,3;42,6
42,6;37,8;45,9;27,7;41,5;42,6;33,8
49,2;21,7;31,3;42,5;42,7;38,6;22,9
52,1;34,6;29,8;42,2;25,6;23,1;33,6
49,7;55,1;39,2;33,9;51,2;49,9;51,4
38,2;25,3;54,1;33,8;37,7;48,4;41,4
44,2;58,7;31,7;39,4;41,8;62,3;47,1
49,1;52,6;39,9;60,2;29,4;28,4;58,7
30,2;27,8;42,3;63,1;51,7;44,2;27,1
55,1;34,8;31,2;27,4;38,8;39,7;43,5
54,1;27,8;58,3;66,4;59,1;42,2;37,9
28,8;55,7;51,1;33,9;49,6;37,7;29,1
