happines;sadness;anger;surprise;fear;disgust;neutral
65,8;62,7;72,3;71,1;43;42,8;40,3
79,8;63,3;72,7;78,1;79,2;66,4;42,2
62;58,6;77,3;71,9;62,4;72,2;78,5
79,3;88,4;84,4;72;85,3;59,9;77,2
48,3;55,8;91,2;87,3;57,7;68,9;52,3
61,6;38,3;68,1;57,2;76,7;72,9;48,1
67,7;71;55,3;52,1;49,9;50,2;59,8
48,2;51,3;50,7;55,3;98,3;98,3;98,3
71,2;56,1;72,3;65,5;78,1;64,9;55,5
69,1;57,2;71,3;62,5;72,8;66,9;59,7
88,2;54,1;60;64,2;89,7;75,7;62,5
82,2;42,3;58,8;52,9;60,7;51,2;50,8
